,0
0,True
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,False
21,True
22,True
23,True
24,False
25,False
26,True
27,False
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,False
37,True
38,True
39,True
40,True
41,True
42,False
43,False
44,False
45,False
46,True
47,True
48,False
49,True
50,False
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,False
65,True
66,True
67,True
68,True
69,False
70,True
71,True
72,True
73,False
74,True
75,True
76,True
77,True
78,True
79,True
80,False
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,False
92,True
93,True
94,True
95,False
96,False
97,False
98,False
99,True
100,True
101,True
102,True
103,True
104,True
105,False
106,True
107,False
108,True
109,True
110,True
111,True
112,False
113,True
114,False
115,True
116,False
117,True
118,False
119,True
120,False
121,False
122,False
123,True
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,False
136,True
137,True
138,True
139,True
140,True
141,True
142,False
143,True
144,False
145,True
146,True
147,False
148,True
149,True
150,False
151,True
152,True
153,True
154,True
155,False
156,True
157,False
158,True
159,True
160,False
161,False
162,False
163,True
164,True
165,True
166,True
167,True
168,True
169,False
170,True
171,True
172,True
173,True
174,True
175,False
176,False
177,True
178,True
179,True
180,True
181,False
182,True
183,False
184,True
185,True
186,True
187,True
188,False
189,True
190,False
191,False
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,False
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,True
213,True
214,True
215,False
216,True
217,False
218,False
219,True
220,True
221,True
222,False
223,True
224,False
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,True
242,False
243,True
244,False
245,False
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,False
254,True
255,False
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,False
268,True
269,False
270,True
271,True
272,True
273,False
274,True
275,True
276,False
277,True
278,True
279,True
280,True
281,False
282,True
283,True
284,True
285,True
286,False
287,False
288,True
289,True
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,True
299,False
300,True
301,True
302,False
303,True
304,True
305,True
306,True
307,False
308,False
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,True
319,False
320,True
321,True
322,True
323,True
324,True
325,False
326,True
327,True
328,True
329,True
330,True
331,True
332,True
333,False
334,True
335,True
336,True
337,True
338,False
339,False
340,True
341,True
342,True
343,False
344,True
345,True
346,True
347,True
348,True
349,True
350,False
351,True
352,False
353,True
354,True
355,False
356,False
357,True
358,True
359,False
360,True
361,True
362,False
363,False
364,True
365,True
366,True
367,True
368,True
369,False
370,True
371,True
372,True
373,False
374,False
375,True
376,True
377,True
378,True
379,True
380,False
381,False
382,True
383,True
384,True
385,False
386,True
387,True
388,True
389,True
390,False
391,False
392,True
393,True
394,False
395,False
396,False
397,True
398,True
399,True
400,False
401,True
402,True
403,True
404,True
405,True
406,False
407,True
408,True
409,True
410,True
411,False
412,True
413,False
414,True
415,False
416,True
417,True
418,True
419,False
420,True
421,True
422,True
423,False
424,True
425,True
426,False
427,True
428,True
429,True
430,True
431,True
432,True
433,True
434,True
435,True
436,True
437,True
438,True
439,False
440,True
441,True
442,True
443,False
444,True
445,True
446,True
447,True
448,True
449,True
450,True
451,True
452,True
453,True
454,False
455,True
456,True
457,False
458,True
459,True
460,False
461,True
462,True
463,True
464,True
465,True
466,True
467,True
468,True
469,True
470,True
471,True
472,True
473,True
474,False
475,True
476,True
477,True
478,False
479,True
480,True
481,False
482,True
483,True
484,True
485,False
486,True
487,False
488,True
489,True
490,True
491,True
492,False
493,True
494,False
495,False
496,True
497,False
498,True
499,True
500,False
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,True
511,False
512,True
513,True
514,False
515,True
516,True
517,True
518,True
519,True
520,False
521,False
522,True
523,True
524,False
525,True
526,True
527,True
528,False
529,False
530,True
531,True
532,False
533,False
534,False
535,True
536,False
537,True
538,True
539,True
540,True
541,True
542,False
543,True
544,True
545,True
546,True
547,True
548,False
549,False
550,True
551,True
552,False
553,True
554,False
555,True
556,False
557,True
558,True
559,True
560,False
561,True
562,True
563,True
564,True
565,True
566,False
567,True
568,True
569,True
570,True
571,True
572,False
573,True
574,True
575,True
576,True
577,True
578,True
579,True
580,True
581,True
582,True
583,False
584,True
585,True
586,True
587,True
588,True
589,True
590,True
591,True
592,True
593,True
594,True
595,True
596,True
597,True
